"ENTITY","ID","CODE","NAME","STATUS","TYPE","DESCRIPTION","PURPOSE","START DATE","END DATE","CURRENCY","AMOUNT",""
"Roads Authority","487","RA/MAI/NR/2022-2023","The Road and Bridge Maintenance Programme for the 2022/23 NORTH 2","implementation","rehabilitation","The Road and Bridge Maintenance Programme for the 2022/23 Financial Year works consist of Sectional Periodic Maintenance, Rehabilitation, Retainer Pothole Patching, Emergency and Urgent works, Routine Term Maintenance; Grading and Reshaping of Trunk, Urban and District Roads and Associated Drainage Works","Sectional Periodic Road Maintenance","2022-12-01","2023-12-01","MWK","4912390954.35",""
"Ministry of Health","488","0011","Construction of Phalombe District Hospital","completed","construction","The project involves the construction of a 250-bed capacity hospital with different structures like an administration block, an Outpatient Department, Maternity block, X- Ray block, Paediatrics, Nutrition and rehabilitation unit, Kitchen and Laundry, Laboratory, Maternal and child health, Mortuary, Staff houses, External works like incinerators, Gas plant, amongst other structures.","improve access to health care services","2011-01-01","2022-10-11","USD","22756242.83",""
"Ministry of Health","489","002","Construction of the Lilongwe Institute of Orthopedic and Neurosurgery (LION)","completed","construction","The project involved the construction of an orthopedic and Neurosurgery centre at the Kamuzu Central Hospital. The LION Trust is responsible for sourcing funds for the facility.","improve health service delivery","2016-01-01","2023-04-28","USD","32000000.00",""
"Chitipa District Council","328","CPDC/29/11/22c","Construction of Market Shed at Chitipa Boma","completion","construction","The project will construct a market shed at Chitipa Boma","The project will provide conducive trading place for vendors to ply their trade and reduce roadside accidents due to trading along the streets","2022-11-29","2023-03-29","MWK","26931265.00",""
"M'mbelwa District Council","323","MDC/NCB/GESD/2022-23/Milala","Construction of a laboratory at Milala CDSS","implementation","construction","Construction of a laboratory at Milala CDSS","To improve educational standards in the area.","2023-02-19","2023-05-20","MWK","86596270.75",""
"Ministry of Health","480","70263/12030","Construction of National Cancer","implementation","construction","The Project involves the construction of a Cancer Treatment centre with a Chemotherapy suite, an administration block,  a consulting block,  3 wards, 4 Radiotherapy, 2 Brachytherapy Bunkers, nuclear medicine block, Treatment and imaging block, waiting hostels, laboratory, a theatre and other supporting amenities.","To construct a National Cancer Centre with Radiotherapy bunkers","2017-08-01","2023-12-30","USD","22450000.00",""
"Roads Authority","490","RA/CON/2019-20/02","Multinational Nacala Road Corridor Development Project Phase V: Feasibility Study, Detailed Engineering Design for the Rehabilitation of Mangochi - Chiponde Road","implementation","rehabilitation","Design for the Rehabilitation of Mangochi - Chiponde Road","The development and growth of the economy","2022-08-18","2023-06-07","USD","421506.50",""
"Roads Authority","491","P-MW-DB0-022","Multinational Nacala Road Corridor Development Project Phase V: Consultancy Services for Design Review and Supervison of Nsipe - Chingeni - Liwonde Road Rehabilitation","implementation","rehabilitation","Consultancy Services for Design Review and Supervison of Nsipe - Chingeni - Liwonde Road Rehabilitation","The development and growth of the economy","2022-09-26","2023-05-21","USD","263050.00",""
"Roads Authority","492","""DODMA/WOR/2019/05A  (Design Phase)""","Detailed Engineering Design and Construction Supervision Services of Selected Bridges on Mangochi – Makanjira Road","implementation","rehabilitation","Design Phase","To produce a safe bridge that is elegant and satisfies all functionality requirements.","2022-06-28","2022-12-31","USD","254299.53",""
"Roads Authority","493","RA/DEV/RU-CP/2021-22/06w","Consultancy Services for Feasibility Study and Detailed EngineeringDesign for Upgrading of Rumphi- Nyika - Chitipa (M009) Road - LOT 1: Gamba Gate - Chitipa","implementation","rehabilitation","Detailed Engineering Design for Upgrading of Rumphi- Nyika - Chitipa (M009) Road - LOT 1: Gamba Gate - Chitipa","Roads open up more areas and stimulate economic and social development","2022-11-04","2023-11-09","MWK","324438000.00",""
"Roads Authority","494","RA/DEV/BT-LL/2021-22/10","Consultancy Services for Feasibility Study and Detailed Engineering Design for Capacity Improvement of Blantyre - Lilongwe  (M001) Lot 2: Lunzu - Junction with M002 Road","implementation","rehabilitation","Feasibility Study and Detailed Engineering Design for Capacity Improvement of Blantyre - Lilongwe  (M001) Lot 2: Lunzu - Junction with M002 Road","Roads open up more areas and stimulate economic and social development","2022-12-02","2023-04-21","MWK","1180342.50",""
"M'mbelwa District Council","496","MDC/GESD/MAKILINDENI/2022-23/006","Construction of Water Supply at Makilindeni","implementation","construction","Construction of a Solar Powered Water Supply at Makilindeni to supply nearby Schools","To provide clean portable water to the schools","2023-02-07","2023-04-08","MWK","18275008.36",""
"Karonga District Council","320","KADC/DDF/W/DC'S-OFC/2020-2021/01","Construction of Karonga DCs Office","implementation","construction","Construction of the DCs Office in Karonga District","Provision of office space for the District Commissioner and other officer, since the old office was set on fire.","2022-12-22","2023-04-10","MWK","99979939.00",""
"Chitipa District Council","498","CPDC/15/12/2022","Construction of Teacher's House at Namutegha Primary School","completion","construction","Construction of the modern teacher's house at Namutegha Primary School","To provide a conducive habitable dwelling residence for teachers hence  reducing the pupil-teacher ratio and consequently improving the educational attainment of learners","2022-12-22","2023-03-22","MWK","30422465.36",""
"Nkhatabay District Council","499","Chintheche","Chintheche Kiosks","completion","construction","Construction of chintheche kiosks for the business operations","for commercial activities","2023-01-14","2023-06-14","MWK","23000000.00",""
"Karonga District Council","319","KADC/GESD","Ngerenge Dispensary","completion","construction","Construction of Ngerenge Dispensary in Karonga district.","Providing health services to the community","2022-12-21","2023-04-30","MWK","97238676.00",""
"Rumphi District Council","502","MW-RDA-320757-CW-RFM","CONSTRUCTION OF JUNJU GIRLS HOSTEL","implementation","construction","The project involves construction of hostel to accommodate girls at Junju CDSS. The hostel will accomadate80 female learners. It will also carter for beds and mattresses.","difficulty to access secondary education after completion of primary education, leads more teanergers in hard to reach areas drop out of school. as a result there are a lot of teenage pregnancies and early marriages. the hostel will provide accommodation for girls thereby, eliminating walking distances from home to school. girls will have enough time to study, discuss school work and rest after studies. this will in-turn improve pass rate and reduce drop out rate among girl child learners.","2023-02-09","2023-06-18","MWK","90423987.56",""
"Karonga District Council","312","KADC/GESD/W/ZGEBACDSS/22-23/05","Construction of Zgeba Secondary School","completed","construction","Completed","Provide education to the community","2022-12-21","2023-04-20","MWK","69043760.93",""
"Karonga District Council","316","KADC/GESD/IPONGA STAFF HOUSE/2022-23/03","Construction of Iponga CDA Staff House","completed","construction","Construction of Iponga CDA Staff house in Karonga District","Provision of Accommodation for the Community development Assistant","2022-12-21","2023-04-20","MWK","46032665.00",""
"Karonga District Council","314","KADC/GESD/W/MLARE MAT-WING/2022-23/07","Construction of Mlare Maternity Wing","completion","construction","Construction of Mlare Maternity Wing in Karonga District","Provide health services to expectant mothers","2022-12-21","2023-04-10","MWK","91968950.00",""
"M'mbelwa District Council","500","MDC/NCB/GESD/2021-22/07","Construction of Vibangalala Maternity Wing","completed","construction","Construction of a maternity wing at Vibangalala in TA Vibangalala.","The project focusses on reducing the distance  thereby improving the accessibility of maternal health services.","2021-12-21","2022-03-21","MWK","49188877.22",""
"M'mbelwa District Council","317","MDC/NCB/GESD/2021-22/05","Mkunguni Primary School Block","completed","construction","Construction of a standard classroom block using cement blocks at Mkunguni.","To improve pupil-teacher ratio by easing congestion at the school.","2021-12-19","2022-02-28","MWK","22042284.00",""
"M'mbelwa District Council","315","MDC/NCB/GESD/2021-22/01","Construction of Luweya Bridge","completed","construction","Construction of a 25 metre  3 span concrete deck bridge on Luweya river","To promote access to socio-economic services","2021-12-28","2022-02-26","MWK","47134990.00",""
"Nkhatabay District Council","307","NB/DDF/2122/1","Chisangawe School Block","completion","construction","Construction of Chisangawe School Block at Kandoli ward","To provide conducive learning environment for learners","2022-02-02","2023-02-02","MWK","24184950.00",""
"Nkhatabay District Council","497","Mpamba","Mpamba market sheds","completion","construction","there is construction of market sheds at  mpamba market in order to promote commercial activities","to promote commercial activities","2023-01-14","2023-06-14","MWK","60000000.00",""
"Kasungu Municipal Council","476","KUMC/ICR/7/2022-2023/26","INSTALLATION OF CULVERT RINGS AND RIVER CHANNELLING AT CHIMBUNA WARD","completion","construction","The project involved excavation works concrete works, masonry works, plastering, backfilling","To improve accessibility and drainage systems","2022-07-06","2024-03-31","MWK","1000000.00",""
"Kasungu Municipal Council","469","KUMC/ICR/7/2022-2023/12","CONSTRUCTION OF FOOTPATH BRIDGE ON KASWALIMBA RIVER AT BUNDA WARD","completion","construction","The project involves excavations, concrete, Carpentry and joinery, plastering","The purpose of the project is  to improve accessibility between communities within the ward","2022-07-06","2024-03-31","MWK","14500000.00",""
"Kasungu Municipal Council","420","KUMC/CCPR/7/2022-2023/9","CONSTRUCTION OF COMMUNITY POLICE ROOM AT CHITETE WARD","implementation","construction","The project involves excavations, brickwork, concrete works, roofing and plastering","The main purpose is to improve security within the ward","2022-07-06","2024-03-31","MWK","7500000.00",""
"Blantyre District Council","337","BT-DDF 2023/005","Sukali Bridge","completed","construction","Construction of a Bridge","to facilitate accessibility to social services","2022-11-15","2023-03-23","MWK","12500000.00",""
"ZOMBA CITY COUNCIL","300","ZCC/RFA/ENG/RD/2022-23/02","Rehabilitation of Ndola Roads","implementation","rehabilitation","Good road network and improving drainage system","Improve mobility to CBD","2022-11-01","2023-04-30","MWK","8155007.70",""
"Northern Region Water Board (NRWB)","309","NRWB/RU","Rumphi Water Supply and Sanitation Services Improvement Project","preparation","construction","Rumphi water supply system currently provides water to 17,928. Majority of the customers are connected through 20 mm diameter pipelines resulting in very low pressures. Rumphi water supply scheme covers most of the areas of Rumphi Boma except developing areas around the Boma such as Jaghala and Mlongoti which are partly connected and having low pressures. Boundaries of the existing water supply are Mayembe and Phalasitwe Hills to the north, South Rukuru River to the south and east and Chigwere to the west.","To construct an intake weir for Rumphi water supply system; To upgrade the water treatment plant; To upgrade the water supply transmission systems covering pumps and pipelines including installation of solar power; To upgrade and expand the distribution pipe network including construction of storage tanks; To enhance access to improved sanitation and hygiene services; To construct a sanitary landfill; To construct a liquid waste/ wastewater treatment facility; To manage the catchment area for South Rumphi River.","2023-08-01","2027-07-31","USD","36286000.00",""
"Lilongwe Water Board","365","LWB-EDFP","LILONGWE WATER BOARD ESTATE DEVELOPER FINANCED PROJECTS","implementation","expansion","These projects are implemented to reticulate new areas upon request by various estate developers such as Malawi Housing Corporations, Ministry of Lands, etc.","To increase access to clean water services","2020-07-01","2025-07-31","MWK","2000000000.00",""
"Kasungu District Council","417","MW-KDC-311887-CW-RFQ","construction Kaluluma fish ponds","implementation","construction","construction Kaluluma two fish ponds","To enhance the supply of  protein through fish farming","2022-12-01","2023-05-31","MWK","15000000.00",""
"Kasungu District Council","421","MW-KDC-311881-CW-RFQ","construction of Kamboni Police staff houses","implementation","construction","construction of Kamboni Police -  two staff houses","To enhance security in kasungu west constituency","2022-12-01","2023-05-31","MWK","75600000.00",""
"Kasungu District Council","429","001/4109/02/22/107","Construction of senior chief Lukwa house","implementation","construction","Construction of senior chief Lukwa house","To promote local governance through provision of chief housing","2023-01-09","2023-06-30","MWK","62597322.30",""
"Kasungu District Council","433","001/4109/10/22/5106","construction of Senior chief Kapelura house","implementation","construction","construction of Senior chief Kapelura house","To promote local governance through construction of chief houses","2023-01-09","2023-06-30","MWK","67551166.55",""
"Kasungu District Council","438","001/4109/10/22/510","Construction of Dwelling House for Chief Kaluluma","implementation","construction","Construction of Dwelling House for Chief Kaluluma","To enhance local governance through the provision of chiefs housing","2023-01-09","2023-06-30","MWK","67551166.55",""
"Kasungu District Council","453","001/GESD/53089/10/21/700","Construction of Malosa TDC","implementation","construction","construction of Malosa TDC to improve education standards","To support  teacher's professional growth, improving teaching practices and ultimately enhancing the quality of education","2021-12-01","2022-05-31","MWK","25000000.00",""
"Kasungu District Council","455","001/GESD/53083/10/21/703","Construction of Mkhuta Bridge","implementation","construction","Construction of Mkhuta 2 span concrete bridge","To ease mobility of the people in Kasungu west -Lifupa ward  at Magwazu ADC","2021-12-01","2022-03-31","MWK","20000000.00",""
"Kasungu District Council","458","001/GESD/53084/10/21/704","completion of Mphomwa health center and construction of staff house","implementation","construction","completion of Mphomwa health center and construction of staff house","To improve health service delivery among the  popultaion in Kasungu North West - Matenje ward","2021-12-01","2022-03-31","MWK","30000000.00",""
"Kasungu District Council","461","001/GESD/53082/10/21/705","Construction of Ofesi health center OPD","implementation","construction","Construction of Ofesi Health Center OPD at Kasungu  North North East - Mpeni ward","To improve health delivery among the people living at Kasungu north north east constituency - Mpeni ward","2021-12-01","2022-03-31","MWK","40000000.00",""
"Kasungu District Council","464","001/DDF/53089/10/21/710","Construction of 2 span Chiloza bridge","implementation","construction","construction of 2 span Chiloza bridge","To easy mobility and connectivity to people of Kasungu north east constituency - Mbongozi ward","2021-12-01","2022-03-31","MWK","40000000.00",""
"Kasungu District Council","465","001/DDF/53087/10/2`1/708","Construction of Chinyama Health center staff house","implementation","construction","construction of Chinyama Health Center staff house","To improve health service delivery through provision of decent houses to medical personnel","2021-12-01","2022-03-31","MWK","15000000.00",""
"Kasungu District Council","467","001/DDF/53088/10/21/707","construction of Gogode Health center maternity wing","implementation","construction","construction of Gogode maternity wing in kasungu central- Chipala ward","To improve health service delivery and reduce maternal mortality rate  To reduce congestion at Kasungu district hospital","2021-12-01","2022-03-31","MWK","40000000.00",""
"Kasungu District Council","468","001/DDF/53081/10/21/706","Rehabilitation Lodjwa Health center maternity wing","implementation","rehabilitation","construction Lodjwa Health center maternity wing","To improve health service delivery especially among women of reproductive age group.","2021-12-01","2022-03-31","MWK","20000000.00",""
"Kasungu Municipal Council","473","KUMC/RRB/7/2022-2023/16","ROAD RESHAPING FROM GOD IS GOOD SHOP TO PCCM CHURCH","completion","construction","The project involves forming a road camber and unlined drainage systems using labour intensive","To improve accessibility of communities within the ward","2022-07-06","2024-03-31","MWK","996810.00",""
"Mzuzu City Council","501","MCC/ROADS/RESF/23/01 A LOT 2","Reshaping and associated drainage works on selected roads in Mzuzu City","implementation","rehabilitation","Reshaping and associated drainage works on selected roads in Mzuzu City","To rehabilitate some roads that are in bad shape as well as clearing of drainage system. This will help ease challenges road users face when using such roads. The drainage part is a measure to control unnecessary run off.","2023-03-15","2023-06-15","MWK","2624375.00",""
"Directorate of Buildings (DoB)","305","DADC/MLG/CNGCSA/W/2021-2022","Completion of social amenities( community ground, hall, library and bus depot)","implementation","construction","construct, hall library and bus depot and its associated works","to improve the social well being of individuals at Nambuma growth center","2022-03-04","2022-10-21","MWK","618353349.71",""
"Directorate of Buildings (DoB)","329","PPDA/01/1/2022","Partition of JIREH house into PPDA offices electrical works","completion","construction","partitioning of building and associated works","To provide more working space for the PPDA members of staff","2022-05-23","2022-06-10","MWK","45338902.50",""
"Ntchisi District Council","384","NS/IPDAC/22/RFQ/WKS/02","Electrification of Malomo Rural Growth Centre Market","completed","construction","Constructing all infrastructure to allow for electricity connectivity.","To have access to electricity at the trading centre for diverse businesses that cater community members.","2022-03-26","2022-04-15","MWK","16500000.00",""
"Ntchisi District Council","395","NS/IPDAC/WKS/2021-22/01-LOT 3","Masangano Classroom block","completed","construction","Construction of a classroom block at Masangano to cater to 120 students","To increase the number of classrooms and reduction in Pupil  congestion.","2021-12-29","2022-03-31","MWK","32815617.00",""
"M'mbelwa District Council","503","MDC/GESD/EKWENDENI P UNIT/2022-23/002","Construction of Ekwendeni Police Unit","implementation","construction","The project involves construction of a police unit and provision of furniture","To provide security to Ekwendeni and surrounding communities and the general public","2023-03-07","2023-05-06","MWK","63042539.21",""
"Mzuzu City Council","506","MCC/ROADS/PP/23/01/26 A LOT 1","POTHOLE PATCHING AND ASSOCIATED DRAINAGE WORKS","implementation","rehabilitation","The project shall involve pothole patching which consists of pothole cuttings, pinning, backfilling with subbase or base material and asphalt and also culvert cleaning and drain cleaning.","The Council would like to recondition the status of the roads and improve some drainage system.","2023-03-15","2023-06-15","MWK","36024950.00",""
"M'mbelwa District Council","508","MDC/NCB/GESD/2021-22/02","Construction of Khosolo Police Unit Block","completed","construction","Construction of a police unit at Khosolo.","To improve security levels around Kholoso.","2021-12-19","2022-03-19","MWK","23203057.56",""
"Chitipa District Council","510","CPDC/11/02/2023","Construction of teachers house at Kavumulo Primary School","implementation","construction","Construction of a modern teachers' house","The project will provide decent accomadtion to a teacher which will in turn improve the learning outcome of learners as the pupil-teacher ratio gets reduced","2023-01-17","2023-05-17","MWK","30422000.00",""
"Chitipa District Council","514","CPDC/29/11/22d","Construction of a teacher's house at Nkhanga  Primary School","implementation","construction","The project will involve the construction of a modern teacher's house","The project will accord a teacher with a conducive dwelling unit which will not only motivate the teacher but also aid in improving the learning outcomes at the school by learners","2022-12-06","2023-03-06","MWK","26702567.80",""
"Nkhatabay District Council","517","Slaughter House","Construction of Slaughter house at Nkhata-bay","completion","construction","There was no animal slaughter at the Nkhata-bay Boma","to improve on the animal health and tract animal-human communicable diseases","2023-01-14","2023-06-14","MWK","45000000.00",""
"Nkhatabay District Council","518","Kamwala","Construction of Kamwala under-5 clinic and staff hous","completion","construction","Construction of staff house and completion of under five clinic at Kamwala in upper Zilakoma","to improve health service delivery","2023-01-14","2023-06-14","MWK","48084566.66",""
"M'mbelwa District Council","519","MDC/NCB/GESD/2021-22/09","Renovation of clinic and staff house completion at Wateleka Health Post","completed","rehabilitation","Rehabilitation of an existing health post building and completion of a staff house.","Improve health outcomes of people in the area by reducing the distance  Mzimba district hospital.","2021-12-20","2022-02-18","MWK","15478603.00",""
"Nkhatabay District Council","521","Bugano CDSS Staff house","Completion of Bungano staff house","completed","rehabilitation","Completion of Bungano staff house","To improve service delivery in education sector","2023-01-14","2023-06-14","MWK","4500000.00",""
"Nkhatabay District Council","523","Chiwisi School Block","completion of Chiwisi School brock","completed","replacement","the school  block was reaped off due to heavy rains","to improve the welfare of the students at the institution","2022-01-14","2022-06-14","MWK","4500000.00",""
"Rumphi District Council","524","MW-RDA-320756-CW-RFB","CONTRUCTION OF CHIWETA EPA OFFICE BLOCK","implementation","construction","The project involves construction of an office block for Chiweta EPA","To create a conducive environment for working. this will ease access of for the office to people","2023-02-10","2023-05-10","MWK","39575230.46",""
"Mzuzu City Council","526","MCC/ROADS/CUL/IDF/2022/10/01","CULVERT LINE CONSTRUCTION AND MAINTANANCE IN ZOLOZOLO WARD, CHIBANJA, NKHORONGO AND MCHENGAUTUBA WEST WARD","implementation","construction","Contruction and Maintenace of various culverts in the aforementioned areas","To improve connectivity and mobility","2023-01-25","2023-06-25","MWK","38173850.00",""
"M'mbelwa District Council","527","MDC/NCB/GESD/2021-22/010","High Yielding Borehole Drilling","completed","construction","Bore hole drilling, pump installation and related civil works at Yachema Chirwa Village, Kadozo-Mguntha Village, Watereka Health Post, Vibangalala Health Post and Wateleka Health post.","To provide easy access to portable water people of Yachema Chirwa Village, Kadozo-Mguntha Village, Watereka Health Post, Vibangalala Health Post and Wateleka Health post.","2022-01-18","2022-02-02","MWK","14853875.00",""
"Mzuzu City Council","528","MCC/ROADS/GRAV/IDF/10/03","SPOT GRAVELLING AND DRAINANAGE IMPROVEMENT IN CHIPUTULA, CHIBAVI EAST, AND CHIBANJA WARD","preparation","rehabilitation","Execution of spot gravelling and drainage improvement in the aforementioned areas","To improve mobility and transportation of agricultural produce and merchandise.","2023-01-25","2023-06-25","MWK","33593250.00",""
"Nkhatabay District Council","530","Mpamba","Mpamba additional market sheds","completed","construction","construction of market sheds at Mpamba","to improve commercial activities","2021-03-16","2021-08-16","MWK","19268328.77",""
"Rumphi District Council","531","MW-RDA-320752-CW-RFB","CONSTRUCTION OF BOMA YOUTH CENTRE","implementation","construction","the project involves construction of a youth centre","to create an environment for youth to interact","2023-02-09","2023-06-18","MWK","62105702.35",""
"Nkhatabay District Council","532","Chintheche","Construction of Brick Perimeter Fence, 2 Market Sheds, Refuse Bank and Kiosks at Chintheche Market","completed","construction","Construction of Brick Perimeter Fence, 2 Market Sheds, Refuse Bank and Kiosks at Chintheche Market","To improve commercial activities","2022-01-14","2022-06-14","MWK","40000000.00",""
"M'mbelwa District Council","525","MDC/NCB/GESD/2021-22/09","Installation of solar and grid powered pumping system at Vibangalala and Wateleka Health Posts","completed","construction","Installing solar and grid powered pumping system at Vibangalala and Wateleka Health Posts.","To improve water supply at Vibangalala and Wateleka Health posts.","2021-12-19","2022-02-17","MWK","16066443.21",""
"M'mbelwa District Council","515","MDC/NCB/GESD/2021-22/08","Construction of Mbalachanda Police Unit Block","completion","construction","Construction of  police unit and double hole pit latrine using cement blocks.","Improving security  levels in the surrounding area.","2021-12-19","2022-02-27","MWK","23203057.56",""
"M'mbelwa District Council","511","MDC/NCB/GESD/2021-22/04","Njuyu EPA Office","completed","construction","Construction of an EPA office at Njuyu","To improve agricultural extension service delivery in the area.","2021-12-19","2022-02-17","MWK","21500000.00",""
"M'mbelwa District Council","509","MDC/GESD/LUWELEZI/2022-23/009","Construction of Maternity Wing at Luwelezi Health Centre","implementation","construction","The project involves construction of maternity block, incinerator, placenta pit and provision of furniture","To improve health delivery services","2023-02-07","2023-06-07","MWK","124237098.88",""
"M'mbelwa District Council","516","MDC/GESD/CHIPHO/2022-23/011","Construction of School Block at Chipho Primary School","implementation","construction","The project involves construction of a double classroom block and double VIP toilet","To improve teaching and learning environment","2023-02-07","2023-04-08","MWK","43371919.47",""
"Nkhatabay District Council","534","Mzenga","Mzenga foot bridge","completed","construction","Construction of Mzenga foot bridge connecting Mzenga and Chiwawani","To prmote trade by facilitating easy transportation","2021-12-07","2022-03-07","MWK","11799814.00",""
"Nkhatabay District Council","535","Makumbo","Construction of Makumbo satff house","completion","construction","The constrcution of the satff house at Makumbo will facilitate easy service delivery as the community will have readily available health personnel","It is meant to reduce avoidable death which are often due to long distance traveled in accessing the health services.","2021-12-14","2022-04-01","MWK","27699975.81",""
"Nkhatabay District Council","536","Usingini-Usisya","Installation of Usingini-Usisya water pipe line","cancelled","expansion","The project was meant to improve safe , potable and hygiene water accessibility among households in Usisya","To promote accessibility to safe, potable and hygiene water accessibility among households in Usisya","2023-01-14","2023-06-14","MWK","35237075.00",""
"Nkhatabay District Council","537","Chituka","Chituka Dispensary equipment","completed","replacement","The community will have no more problem of traveling long distance to acquire the health services","The community will have no more problem of traveling long distance to acquire the health services","2022-05-05","2022-06-05","MWK","8059460.00",""
"Blantyre City Council","541","BCC/W/Dual Carriageway/2017-18","Dualisation of Clock Tower to Kameza Roundabout","implementation","construction","Dualisation of Clock Tower to Kameza Roundabout","Transportation","2006-10-09","2031-06-20","MWK","11411957489.70",""
"Blantyre City Council","542","BCC/W/Chi-Mpe-Bypass/2017-18","Upgrading to Asphalt Surface of Chigumula to Mpemba By pass","implementation","construction","Upgrading to Asphalt Surface of Chigumula to Mpemba By pass","Transportation","2018-02-28","2021-10-20","MWK","4662335485.00",""
"Blantyre City Council","543","Construction of North Road","Construction of North Road- Market street (Behind Limbe Escom) 0.5 Km- LOT 5","implementation","construction","Construction of North Road- Market street (Behind Limbe Escom) 0.5 Km- LOT 5","Transportation","2021-04-21","2022-03-15","MWK","465423689.06",""
"Blantyre City Council","544","Rehabilitation of Kapeni road- Mahatma Ghandi","Rehabilitation of Kapeni road- Mahatma Ghandi in Blantyre City (0.8 km)- Lot 4","completed","construction","Rehabilitation of Kapeni road- Mahatma Ghandi in Blantyre City (0.8 km)- Lot 4","Trasportation","2021-04-21","2022-02-14","MWK","454670253.00",""
"Blantyre City Council","545","BCC/RFA-","Construction of Chilobwe- Stella maris Road in Blantyre City-Lot 6","completed","construction","Construction of Chilobwe- Stella maris Road in Blantyre City-Lot 6","Transportation","2021-04-21","2022-02-14","MWK","758792250.30",""
"Blantyre City Council","546","Upgrading to Asphalt Surface of Nthukwa via Hema to Mboni (0.8km)","Upgrading to Asphalt Surface of Nthukwa via Hema to Mboni (0.8km)","implementation","construction","Upgrading to Asphalt Surface of Nthukwa via Hema to Mboni (0.8km)","Transportation","2021-12-06","2022-05-05","MWK","459000000.00",""
"Blantyre City Council","547","Construction of Namiwawa-Sunnyside (Bank road and Smythe road (2Km))","Construction of Namiwawa-Sunnyside (Bank road and Smythe road (2Km))","implementation","construction","Construction of Namiwawa-Sunnyside (Bank road and Smythe road (2Km))","Transportation","2022-02-21","2022-08-20","MWK","1862160202.88",""
"Blantyre City Council","548","Construction of Lali Lubani road across Masauko Chipembere highway via Malawi Polytechnic Village-Kenyatta drive (1.7 Km))","Construction of Lali Lubani road across Masauko Chipembere highway via Malawi Polytechnic Village-Kenyatta drive (1.7 Km))","implementation","construction","Construction of Lali Lubani road across Masauko Chipembere highway via Malawi Polytechnic Village-Kenyatta drive (1.7 Km))","Transportation","2022-02-21","2022-08-20","MWK","1791304627.80",""
"Blantyre City Council","549","Construction of Chipatala Avenue-Kamba (1.2Km)","Construction of Chipatala Avenue-Kamba (1.2Km)","implementation","construction","Construction of Chipatala Avenue-Kamba (1.2Km)","Transportation","2022-02-21","2022-08-20","MWK","1343621469.75",""
"Blantyre City Council","550","Construction of Newlands-Manje via Chiwembe Road (2Km)","Construction of Newlands-Manje via Chiwembe Road (2Km)","implementation","construction","Construction of Newlands-Manje via Chiwembe Road (2Km)","Construction of Newlands-Manje via Chiwembe Road (2Km)","2022-02-21","2022-08-20","MWK","1635220587.63",""
"Blantyre City Council","551","BCC/CDF-","Construction of Michiru road-Likhubula (Black box) (1.5 Km)","implementation","construction","Construction of Michiru road-Likhubula (Black box) (1.5 Km)","Transportation","2022-02-21","2022-08-20","MWK","1375922853.90",""
"Cost Malawi","552","PSIP 2216","Kholongo Multipurpose Dam (Water Supply and Irrigation) for Mponela Town and surrounding areas","implementation","construction","The project involves the construction of a multipurpose dam, development of a water supply system, development of an irrrigation system and development of fish farms. The Multi-Purpose Dam shall be a source of water for domestic and industrial consumption, irrigation, fish farming, tourist activities and as well as maintaining environmental flows.  The areas that are earmarked to be supplied with potable water by the Dam construction include Mponela Town and other surrounding areas including Mtiti, Madisi, Kanyungu, Kawele, Chimungu, Ndiliro Trading Centres.","The purpose of the project is to increase access to potable water supply to over 153,000 people in Mponela town and surrounding areas, improve water reliability to 24 hours a day in Mponela town and surrounding areas, and Improve food security and community livelihood to 4,400 households around the project area through irrigation and fish farming","2023-02-23","2026-02-24","MWK","67444214703.95",""
"Nkhatabay District Council","512","Council Rest house","Rehabilitation of Nkahata-Bay council Rest house","completion","rehabilitation","The rehabilitation of Coucil Rest house","increase the profit of the enterprise","2023-01-14","2023-06-14","MWK","41746806.00",""
"Central Region Water Board","553","PSIP 2216","Construction of Kholongo Multipurpose Dam (Water Supply and Irrigation) for Mponela Town","implementation","construction","The project involves construction of a multipurpose dam, development of a water supply system, development of an irrigation system and development of fish farms. The Multi-Purpose Dam shall be a source of water for domestic and industrial consumption, irrigation, fish farming, tourist activities and as well as maintaining environmental flows. The areas that are earmarked to be supplied with potable water by the Dam construction include Mponela Town and other surrounding areas including Mtiti, Madisi, Kanyungu, Kawele, Chimungu, Ndiliro Trading Centres.","The purpose of the project is to increase access to potable water supply to over 153,000 people in Mponela town and surrounding areas, improve water reliability to 24 hours a day in Mponela town and surrounding areas, and Improve food security and community livelihood to 4,400 households around the project area through irrigation and fish farming.","2023-02-23","2026-02-24","MWK","67444214703.95",""
"Central Region Water Board","554","PSIP 2108","Dowa Supply and Sanitation Project","preparation","construction","The  project will involve the upgrading and expansion of the existing water supply system in Dowa Town and surrounding areas and provide access to improved potable water supply and sanitation services.","The purpose of the project is to contribute to the economic development of the country by improving the health and livelihoods of the residents of Dowa Town and its surrounding areas. The main objective is, by 2035, to increase access to reliable and sustainable potable water supply and improved sanitation services for the socio-economic growth of over 150, 120 people of Dowa Town and surrounding areas","2023-08-01","2025-07-31","USD","32000000.00",""
